trial	ptIdx	percentValid	centX	centY	centDist	centAngle	RMS	subj	glasses	dist	offset
8	11	1.9830	32.4870	458.6010	1.6370	522.8530	0.1830	102	Pupil Labs	1M	0deg
9	13	1.9830	383.9450	470.4920	1.3960	525.7340	0.1440	102	Pupil Labs	1M	0deg
1	1	1.9830	97.2230	204.1680	0.9200	208.3700	0.1560	102	Pupil Labs	1M	10Ldeg
2	5	1.7830	716.2760	182.0930	1.3760	187.5080	0.2690	102	Pupil Labs	1M	10Ldeg
3	25	1.8080	751.1610	853.4930	0.9860	193.7840	0.3420	102	Pupil Labs	1M	10Ldeg
4	23	1.9830	421.3320	852.1090	0.9430	193.4240	0.1860	102	Pupil Labs	1M	10Ldeg
5	21	1.9830	114.8280	847.7100	0.6270	195.5010	0.1400	102	Pupil Labs	1M	10Ldeg
6	11	1.9830	114.7610	512.7980	0.6230	193.8510	0.1520	102	Pupil Labs	1M	10Ldeg
7	3	1.9920	385.8280	139.1340	1.3690	526.4420	0.1860	102	Pupil Labs	1M	10Ldeg
8	15	1.7750	750.9150	483.5350	0.9800	528.7030	0.2510	102	Pupil Labs	1M	10Ldeg
9	13	1.9830	430.6390	495.4620	0.8100	536.2570	0.1590	102	Pupil Labs	1M	10Ldeg
1	21	1.9830	139.3610	801.1260	0.4920	490.2910	0.1770	102	Pupil Labs	1M	10Rdeg
2	1	1.9830	102.9450	190.0500	0.7910	200.1520	0.1150	102	Pupil Labs	1M	10Rdeg
3	25	1.9830	806.3450	843.6340	0.3370	200.8910	0.1240	102	Pupil Labs	1M	10Rdeg
4	13	1.8500	460.4230	504.0630	0.4640	185.8620	0.4440	102	Pupil Labs	1M	10Rdeg
5	15	1.9830	794.2230	533.8610	0.6030	220.8850	0.1140	102	Pupil Labs	1M	10Rdeg
6	5	1.9920	777.3510	175.8660	0.6610	189.3320	0.0970	102	Pupil Labs	1M	10Rdeg
7	23	1.9830	477.4580	823.9620	0.2850	517.4260	0.1350	102	Pupil Labs	1M	10Rdeg
